ClassID,ClassDate,MemberID,Age,MembershipType,Attended,CaloriesBurned
1,2024-01-02,1,27,Premium,False,0
1,2024-01-02,2,23,Trial,True,520
1,2024-01-02,3,50,Trial,False,0
1,2024-01-02,4,52,Premium,True,216
1,2024-01-02,5,27,Premium,False,0
1,2024-01-02,6,19,Trial,True,236
1,2024-01-02,7,18,Standard,True,511
1,2024-01-02,8,33,Trial,False,0
1,2024-01-02,9,34,Standard,True,287
1,2024-01-02,10,29,Trial,False,0
2,2024-01-03,1,52,Standard,False,0
2,2024-01-03,2,44,Premium,True,202
2,2024-01-03,3,38,Standard,True,472
2,2024-01-03,4,44,Trial,True,398
2,2024-01-03,5,37,Trial,False,0
2,2024-01-03,6,32,Standard,True,369
2,2024-01-03,7,49,Trial,False,0
2,2024-01-03,8,21,Premium,False,0
2,2024-01-03,9,57,Trial,True,568
2,2024-01-03,10,39,Trial,False,0
3,2024-01-04,1,46,Trial,False,0
3,2024-01-04,2,40,Premium,False,0
3,2024-01-04,3,20,Trial,True,516
3,2024-01-04,4,20,Premium,True,281
3,2024-01-04,5,23,Trial,True,597
3,2024-01-04,6,52,Trial,False,0
3,2024-01-04,7,42,Standard,False,0
3,2024-01-04,8,56,Trial,False,0
3,2024-01-04,9,37,Trial,True,241
3,2024-01-04,10,32,Standard,True,252
4,2024-01-05,1,19,Standard,True,335
4,2024-01-05,2,57,Trial,True,289
4,2024-01-05,3,54,Standard,True,433
4,2024-01-05,4,36,Standard,True,333
4,2024-01-05,5,26,Trial,False,0
4,2024-01-05,6,27,Trial,True,263
4,2024-01-05,7,36,Standard,False,0
4,2024-01-05,8,57,Standard,True,517
4,2024-01-05,9,43,Standard,False,0
4,2024-01-05,10,51,Trial,True,474
5,2024-01-06,1,49,Standard,True,450
5,2024-01-06,2,22,Standard,True,391
5,2024-01-06,3,41,Trial,False,0
5,2024-01-06,4,49,Premium,False,0
5,2024-01-06,5,20,Trial,True,281
5,2024-01-06,6,29,Premium,True,377
5,2024-01-06,7,44,Premium,True,484
5,2024-01-06,8,38,Premium,True,217
5,2024-01-06,9,49,Premium,True,230
5,2024-01-06,10,58,Premium,False,0
6,2024-01-07,1,52,Premium,False,0
6,2024-01-07,2,48,Premium,True,483
6,2024-01-07,3,38,Premium,True,385
6,2024-01-07,4,23,Premium,True,544
6,2024-01-07,5,45,Premium,False,0
6,2024-01-07,6,19,Standard,False,0
6,2024-01-07,7,42,Trial,False,0
6,2024-01-07,8,35,Trial,True,312
6,2024-01-07,9,28,Trial,True,263
6,2024-01-07,10,24,Premium,True,204
